pair_id,audio_file,alignment_ready,preparation_status,alignment_status,alignment_score,alignment_validation
PAIR_000001,IQ_000001.wav,True,Ready,Completed,1.0,Passed
PAIR_000002,IQ_000002.wav,True,Ready,Completed,1.0,Passed
PAIR_000003,IQ_000003.wav,True,Ready,Completed,1.0,Passed
PAIR_000004,IQ_000004.wav,True,Ready,Completed,1.0,Passed
PAIR_000005,IQ_000005.wav,True,Ready,Completed,1.0,Passed
PAIR_000006,IQ_000006.wav,True,Ready,Completed,1.0,Passed
PAIR_000007,IQ_000007.wav,True,Ready,Completed,1.0,Passed
PAIR_000008,IQ_000008.wav,True,Ready,Completed,1.0,Passed
PAIR_000009,IQ_000009.wav,True,Ready,Completed,1.0,Passed
PAIR_000010,IQ_000010.wav,True,Ready,Completed,1.0,Passed
PAIR_000011,IQ_000011.wav,True,Ready,Completed,1.0,Passed
PAIR_000012,IQ_000012.wav,True,Ready,Completed,1.0,Passed
PAIR_000013,IQ_000013.wav,True,Ready,Completed,1.0,Passed
PAIR_000014,IQ_000014.wav,True,Ready,Completed,1.0,Passed
PAIR_000015,IQ_000015.wav,True,Ready,Completed,1.0,Passed
PAIR_000016,IQ_000016.wav,True,Ready,Completed,1.0,Passed
PAIR_000017,IQ_000017.wav,True,Ready,Completed,1.0,Passed
PAIR_000018,IQ_000018.wav,True,Ready,Completed,1.0,Passed
PAIR_000019,IQ_000019.wav,True,Ready,Completed,1.0,Passed
PAIR_000020,IQ_000020.wav,True,Ready,Completed,1.0,Passed
PAIR_000021,IQ_000021.wav,True,Ready,Completed,1.0,Passed
PAIR_000022,IQ_000022.wav,True,Ready,Completed,1.0,Passed
PAIR_000023,IQ_000023.wav,True,Ready,Completed,1.0,Passed
PAIR_000024,IQ_000024.wav,True,Ready,Completed,1.0,Passed
PAIR_000025,IQ_000025.wav,True,Ready,Completed,1.0,Passed
PAIR_000026,IQ_000026.wav,True,Ready,Completed,1.0,Passed
PAIR_000027,IQ_000027.wav,True,Ready,Completed,1.0,Passed
PAIR_000028,IQ_000028.wav,True,Ready,Completed,1.0,Passed
PAIR_000029,IQ_000029.wav,True,Ready,Completed,1.0,Passed
PAIR_000030,IQ_000030.wav,True,Ready,Completed,1.0,Passed
PAIR_000031,IQ_000031.wav,True,Ready,Completed,1.0,Passed
PAIR_000032,IQ_000032.wav,True,Ready,Completed,1.0,Passed
PAIR_000033,IQ_000033.wav,True,Ready,Completed,1.0,Passed
PAIR_000034,IQ_000034.wav,True,Ready,Completed,1.0,Passed
PAIR_000035,IQ_000035.wav,True,Ready,Completed,1.0,Passed
PAIR_000036,IQ_000036.wav,True,Ready,Completed,1.0,Passed
PAIR_000037,IQ_000037.wav,True,Ready,Completed,1.0,Passed
PAIR_000038,IQ_000038.wav,True,Ready,Completed,1.0,Passed
PAIR_000039,IQ_000039.wav,True,Ready,Completed,1.0,Passed
PAIR_000040,IQ_000040.wav,True,Ready,Completed,1.0,Passed
PAIR_000041,IQ_000041.wav,True,Ready,Completed,1.0,Passed
PAIR_000042,IQ_000042.wav,True,Ready,Completed,1.0,Passed
PAIR_000043,IQ_000043.wav,True,Ready,Completed,1.0,Passed
PAIR_000044,IQ_000044.wav,True,Ready,Completed,1.0,Passed
PAIR_000045,IQ_000045.wav,True,Ready,Completed,1.0,Passed
PAIR_000046,IQ_000046.wav,True,Ready,Completed,1.0,Passed
PAIR_000047,IQ_000047.wav,True,Ready,Completed,1.0,Passed
PAIR_000048,IQ_000048.wav,True,Ready,Completed,1.0,Passed
PAIR_000049,IQ_000049.wav,True,Ready,Completed,1.0,Passed
PAIR_000050,IQ_000050.wav,True,Ready,Completed,1.0,Passed
PAIR_000051,IQ_000051.wav,True,Ready,Completed,1.0,Passed
PAIR_000052,IQ_000052.wav,True,Ready,Completed,1.0,Passed
PAIR_000053,IQ_000053.wav,True,Ready,Completed,1.0,Passed
PAIR_000054,IQ_000054.wav,True,Ready,Completed,1.0,Passed
PAIR_000055,IQ_000055.wav,True,Ready,Completed,1.0,Passed
PAIR_000056,IQ_000056.wav,True,Ready,Completed,1.0,Passed
PAIR_000057,IQ_000057.wav,True,Ready,Completed,1.0,Passed
PAIR_000058,IQ_000058.wav,True,Ready,Completed,1.0,Passed
PAIR_000059,IQ_000059.wav,True,Ready,Completed,1.0,Passed
PAIR_000060,IQ_000060.wav,True,Ready,Completed,1.0,Passed
PAIR_000061,IQ_000061.wav,True,Ready,Completed,1.0,Passed
PAIR_000062,IQ_000062.wav,True,Ready,Completed,1.0,Passed
PAIR_000063,IQ_000063.wav,True,Ready,Completed,1.0,Passed
PAIR_000064,IQ_000064.wav,True,Ready,Completed,1.0,Passed
PAIR_000065,IQ_000065.wav,True,Ready,Completed,1.0,Passed
PAIR_000066,IQ_000066.wav,True,Ready,Completed,1.0,Passed
PAIR_000067,IQ_000067.wav,True,Ready,Completed,1.0,Passed
PAIR_000068,IQ_000068.wav,True,Ready,Completed,1.0,Passed
PAIR_000069,IQ_000069.wav,True,Ready,Completed,1.0,Passed
PAIR_000070,IQ_000070.wav,True,Ready,Completed,1.0,Passed
PAIR_000071,IQ_000071.wav,True,Ready,Completed,1.0,Passed
PAIR_000072,IQ_000072.wav,True,Ready,Completed,1.0,Passed
PAIR_000073,IQ_000073.wav,True,Ready,Completed,1.0,Passed
PAIR_000074,IQ_000074.wav,True,Ready,Completed,1.0,Passed
PAIR_000075,IQ_000075.wav,True,Ready,Completed,1.0,Passed
PAIR_000076,IQ_000076.wav,True,Ready,Completed,1.0,Passed
PAIR_000077,IQ_000077.wav,True,Ready,Completed,1.0,Passed
PAIR_000078,IQ_000078.wav,True,Ready,Completed,1.0,Passed
PAIR_000079,IQ_000079.wav,True,Ready,Completed,1.0,Passed
PAIR_000080,IQ_000080.wav,True,Ready,Completed,1.0,Passed
